pt;y;cent;chi2;fitStat;doIterativeFit;modelSig_mass;mean_mass;sigma_mass;alpha0_mass;n0_mass;alpha1_mass;n1_mass;modelBkg_mass;c0_mass;c1_mass;c2_mass;c3_mass;
5-15;2.5-3.6;0-100;0-10;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-11;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-11;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-11;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-11;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-12;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-12;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-12;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-12;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-13;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-13;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-13;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-13;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-14;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-14;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-14;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-14;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-15;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-15;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-15;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-15;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-16;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-16;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-16;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-16;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-17;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-17;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-17;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-17;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-18;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-18;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-18;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-18;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-19;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-19;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-19;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-19;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-20;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-20;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-20;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-20;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-21;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-21;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-21;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-21;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-22;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-22;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-22;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-22;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-23;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-23;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-23;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-23;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-24;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-24;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-24;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-24;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-25;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-25;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-25;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-25;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-26;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-26;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-26;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-26;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-27;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-27;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-27;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-27;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-28;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-28;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-28;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-28;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-29;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-29;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-29;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-29;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-30;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-30;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-30;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-30;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-31;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-31;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
